word,part_of_speech,topic,context
congratulations!,exclam,,
city,n,,
contact,n & v,,
city centre,n,Places: Town and City,
continue,v,,
class,n,Education,
conversation,n,Communication and Technology,
cook,n & v,Food and Drink; Work and Jobs,
cooker,n,Appliances; Food and Drink; House and Home,
cookie,n,,
classical,adj,Entertainment and Media,
cooking,n,,
classmate,n,Education,
cool,adj & exclam,"Personal Feelings, Opinions and Experiences (adjectives)",
classroom,n,Education,
clean,adj & v,"Health, Medicine and Exercise",
copy,v,,
cleaner,n,Work and Jobs,
corner,n,Places: Town and City,
clear,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
correct,adj,,
clearly,adv,,
cost,n & v,Shopping,
clever,adj,"Education; Personal Feelings, Opinions and Experiences (adjectives)",
click,n & v,Communication and Technology,
costume,n,Clothes and Accessories,
climb,v,Sport,
climbing,n,,
could,mv,,
clock,n,Appliances; House and Home; Time,
close,adj & v,Shopping,
close to,prep phr,,
country,n,The Natural World; Travel and Transport,
closed,adj,Shopping,
countryside,n,The Natural World,
closet,n,,
course,n,Education,
clothes,n pl,Clothes and Accessories,
delayed,adj,Travel and Transport,
court,n,,
delicious,adj,Food and Drink,
deliver,v,,
dentist,n,"Health, Medicine and Exercise; Services; Work and Jobs",
cousin,n,Family and Friends,
department,n,,
cover,v &n,,
department store,n,Places: Buildings; Shopping,
describe,v,,
desert,n,The Natural World,
cow,n,,
design,v,,
cream,adj & n,Food and Drink,
design,n,,planning
design,n,,process
design,n,Entertainment and Media,drawing
creature,n,,
desk,n,Education; House and Home; Work and Jobs,
credit card,n,Shopping,
dessert,n,Food and Drink,
cricket,n,Sport,
details,n,,
crocodile,n,,
diary,n,Documents and Texts; Time; Work and Jobs,
cross,n & v,,
dictionary,n,Education,
die,v,"Health, Medicine and Exercise",
crossing,n,,
difference,n,,
different,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
crowd,n,,
difficult,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
crowded,adj,,
digital,adj,Communication and Technology,
cry,v,,
digital camera,n,Appliances; Communication and Technology,
dining room,n,House and Home,
cup,n,Food and Drink,
dinner,n,Food and Drink,
cupboard,n,House and Home,
dinosaur,n,,
curry,n,Food and Drink,
diploma,n,Documents and Texts; Education; Work and Jobs,
curtain,n,House and Home,
directions,n,,
customer,n,Shopping; Work and Jobs,
dirty,adj,,
cut,v,"Food and Drink; Health, Medicine and Exercise",
disco,n,Entertainment and Media; Places: Buildings,
cycle,v,,
discount,n,,
cycling,n,Hobbies and Leisure; Sport,
discover,v,,
discuss,v,,
dish,n,Food and Drink,
dad,n,Family and Friends,
daily,adj & adv,Time,
dive,v,,
dance,n & v,Entertainment and Media; Hobbies and Leisure,
dancer,n,Entertainment and Media,
diving,adj,,
dancing,n,,
danger,n,"Health, Medicine and Exercise",
do,av & v,,
dangerous,adj,"Health, Medicine and Exercise",
doctor,n,"Health, Medicine and Exercise; Services; Work and Jobs",
dark,adj,Colours,
document,n,,
date,n,Time,
dog,n,,
doll,n,,
daughter,n,Family and Friends,
dollar,n,Shopping,
day,n,Measurements; Time,
dolphin,n,,
dead,adj,"Health, Medicine and Exercise",
donkey,n,,
dear,adj,,
door,n,House and Home,
dot,n,Communication and Technology,
December,n,Time,
decide,v,,
double,adj,,
deep,adj,,
degree,n,Measurements,
down,adv & prep,,
download,n & v,Communication and Technology,
delay,n & v,Travel and Transport,
environment,n,,
downstairs,adv,House and Home,
equipment,n,,
Dr,n,"Health, Medicine and Exercise; Work and Jobs",
draw,v,Entertainment and Media; Hobbies and Leisure,
eraser,n,Education,
rubber,n,Education,
drawer,n,House and Home,
especially,adv,,
drawing,n,Entertainment and Media,
euro,n,Shopping,
dream,n & v,,
even,adv,,
dress,n & v,Clothes and Accessories,
evening,n,Time,
dressed,adj,,
event,n,,
drink,n & v,Food and Drink,
ever,adv,,
drive,v,Travel and Transport,
every,det,,
driver,n,Travel and Transport; Work and Jobs,
everybody,pron,,
everyone,pron,,
driving licence,n,Travel and Transport,
driver’s licence,n,Travel and Transport,
everything,pron,,
drop,v,,
everywhere,adv,,
exactly,adv,,
drum,n,Entertainment and Media,
examination,n,Education,
exam,n,Education,
dry,adj & v,,
example,n,,
duck,n,,
during,prep,,
DVD,n,Appliances; Communication and Technology; Entertainment and Media; Hobbies and Leisure; House and Home,
excellent,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
DVD player,n,Appliances; Communication and Technology; Entertainment and Media; Hobbies and Leisure; House and Home,
except,conj & prep,,
excited,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
exciting,adj,,
excuse,v,,
each,det & pron,,
exercise,n & v,"Health, Medicine and Exercise",
each other,pron,,
eagle,n,,
ear,n,"Health, Medicine and Exercise",
exhibition,n,Entertainment and Media,
early,adj & adv,,
earn,v,Work and Jobs,
exit,n,Places: Buildings,
earring,n,Clothes and Accessories,
expensive,adj,Shopping,
easily,adv,,
experience,n,,
east,"n, adj & adv",The Natural World,
experiment,n,,
easy,adj,,
eat,v,Food and Drink,
explain,v,,
egg,n,Food and Drink,
explore,v,,
electric,adj,Appliances,
explorer,n,The Natural World; Travel and Transport; Work and Jobs,
electricity,n,Appliances,
elephant,n,,
extinct,adj,,
elevator,n,Places: Buildings,
lift,n,Places: Buildings,
extra,adj,,
else,adv,,
eye,n,"Health, Medicine and Exercise",
email,n & v,Communication and Technology; Documents and Texts; Work and Jobs,
empty,adj,,
end,v & n,,
engine,n,Travel and Transport,
engineer,n,Travel and Transport; Work and Jobs,
face,n,"Health, Medicine and Exercise",
enjoy,v,,
fact,n,,
enough,"adv, det & pron",,
